timestamp(ms),pitch(¡Æ),roll(¡Æ),yaw(¡Æ),flex1,flex2,flex3,flex4,flex5
timestamp,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5
29721,-3.42,-6.53,0.18,799,847,809,858,846
29741,-3.36,-3.36,-1.22,792,840,802,858,843
29761,-1.53,-3.85,-3.72,798,850,800,850,843
29781,0.18,-8.36,-6.16,802,839,794,848,840
29801,-1.04,-13.18,-5.55,801,837,802,842,849
29821,-2.81,-8.30,-3.48,798,824,796,830,841
29841,-2.50,-3.36,-1.77,806,817,787,826,842
29861,-1.16,-4.76,-1.16,799,825,783,831,837
29881,-0.24,-9.16,-2.99,794,812,790,832,842
29901,-5.62,-7.51,-0.79,788,834,789,825,845
29921,-4.46,-1.40,-0.55,790,807,781,825,840
29941,-3.85,3.91,1.95,796,810,779,817,836
29961,-2.56,6.59,2.50,793,817,778,819,834
29981,-1.34,4.46,1.40,798,811,779,819,831
30001,-0.24,-0.67,-1.46,794,805,783,820,830
30021,-1.28,2.08,-0.31,791,804,784,818,830
30041,-1.83,8.67,1.83,786,807,783,821,840
30061,-1.16,10.80,3.42,789,805,778,817,834
30081,-0.61,10.74,3.30,789,801,780,822,831
30101,-0.18,9.58,2.26,789,799,782,822,827
30121,0.43,8.91,1.95,786,800,774,815,824
30141,-15.56,3.42,0.31,787,794,782,816,823
30161,-0.18,-3.48,-1.04,787,791,774,821,831
30181,-1.34,-0.98,-0.85,789,797,771,817,835
30201,-1.34,3.54,-0.67,788,794,773,820,825
30221,-2.50,0.43,-2.75,787,788,788,818,826
30241,-3.11,-4.64,-3.91,788,792,772,816,831
30261,-2.08,-8.24,-3.05,788,786,778,818,825
30281,-0.67,-3.36,-1.46,781,797,772,820,831
30301,1.46,-2.69,-1.16,784,799,777,814,822
30321,-0.49,-6.53,-3.42,785,796,769,833,830
30341,1.59,-6.96,-7.87,787,795,773,834,822
30361,-0.73,-13.79,-6.47,784,795,774,823,826
30381,1.77,-7.08,-6.96,777,800,773,821,824
30401,-3.36,-2.69,-6.71,782,793,776,817,823
30421,-6.23,-10.38,-9.40,787,793,768,811,818
30441,-5.19,-10.74,-12.08,787,794,768,826,824
30461,-3.91,-16.85,-16.36,783,797,770,819,825
30481,-1.95,-11.47,-17.33,784,789,769,819,827
30501,0.73,-5.25,-17.40,782,785,765,814,824
30521,-1.71,-5.13,-15.69,777,791,773,818,820
30541,-3.11,-7.45,-16.85,780,784,783,828,821
30561,-4.64,-9.58,-16.30,778,794,771,819,816
30581,-3.97,-4.52,-15.01,777,793,770,811,825
30601,-4.70,2.32,-13.79,772,787,770,816,823
30621,-6.23,3.54,-11.29,779,786,770,819,816
30641,-4.82,0.73,-9.70,771,789,772,818,820
30661,-5.00,-12.15,-15.93,778,792,768,820,822
30681,-15.50,-11.90,-13.37,779,795,769,817,820
30701,-1.89,7.39,-4.46,771,790,771,818,824
30721,-1.53,8.18,-3.36,773,788,767,821,820
30741,-5.74,3.91,-5.19,773,785,768,815,819
30761,-8.06,0.79,-5.74,778,785,767,815,821
30781,-12.33,0.79,-3.66,772,793,773,817,815
30801,-9.64,7.93,-0.24,773,786,773,816,823
30821,-9.46,12.21,1.83,773,795,774,813,826
30841,-8.61,8.48,0.61,775,786,771,825,821
30861,-7.32,5.62,-2.50,772,794,773,822,819
30881,-10.07,-1.77,-4.27,777,792,773,819,820
30901,-8.12,-2.44,-0.92,776,787,765,819,818
30921,-4.88,4.09,2.01,779,787,767,819,823
30941,-3.48,5.74,0.92,774,791,771,818,820
30961,-4.64,-1.16,-1.22,782,786,771,819,821
30981,-6.71,-3.91,-1.04,783,788,768,825,851
31001,-6.29,-1.59,0.55,796,791,768,820,826
31021,-4.27,6.77,2.14,807,786,763,815,820
31041,2.62,5.80,-0.37,813,785,771,810,814
31061,1.46,-1.65,-2.20,818,785,768,818,813
31081,3.54,-3.05,-3.17,817,789,770,821,822
31101,3.78,-1.04,-0.85,818,798,767,822,822
31121,7.93,7.02,2.93,824,787,771,828,816
31141,8.48,9.40,5.43,825,789,769,816,821
31161,5.19,6.41,5.98,828,790,765,815,823
31181,1.22,0.55,5.13,834,786,765,818,818
31201,0.37,-5.07,2.69,834,783,771,818,819
31221,0.98,-1.89,2.69,837,790,770,817,821
31241,2.38,-0.06,3.91,838,786,765,813,825
31261,4.21,-0.31,7.45,840,787,784,819,822
31281,5.19,-1.83,4.46,840,791,764,815,816
31301,-0.06,-2.81,3.30,843,790,768,816,817
31321,-5.55,-3.66,1.89,844,790,768,822,823
31341,-2.50,-6.47,-3.36,844,790,771,823,818
31361,2.38,-5.37,1.28,846,786,771,816,825
31381,2.87,-1.46,4.03,844,788,768,814,823
31401,-1.71,2.01,3.48,847,790,772,825,821
31421,-4.09,1.34,3.11,852,782,774,816,818
31441,-4.76,-5.68,-0.85,852,784,770,820,824
31461,0.73,-9.16,-2.99,850,784,769,813,814
31481,3.85,-3.97,-0.12,844,784,768,816,814
31501,2.50,8.67,8.24,852,784,767,820,817
31521,7.26,3.17,9.22,850,787,765,816,823
31541,6.41,-8.30,4.33,850,785,763,825,822
31561,-0.73,-8.42,-2.20,847,785,771,813,808
31581,-8.91,-7.87,-4.21,850,786,775,812,816
31601,-6.41,1.89,1.59,849,785,767,817,818
31621,0.61,3.23,7.26,846,786,767,819,826
31641,4.46,-2.38,4.27,858,790,772,819,813
31661,6.53,-6.16,-2.38,851,794,770,832,813
31681,-0.85,-3.66,-2.14,849,782,774,815,818
31701,-6.16,2.44,-0.06,854,793,772,820,814
31721,-3.72,4.15,3.05,847,792,764,815,817
31741,5.74,7.81,5.68,847,791,771,818,820
31761,2.50,0.98,-1.22,850,787,772,826,825
31781,-7.14,-6.23,-4.58,852,790,767,816,817
31801,-6.65,-9.22,-5.37,849,784,765,815,825
31821,0.24,-2.14,0.61,848,791,768,813,806
31841,3.97,4.09,6.90,848,789,767,813,812
31861,3.60,-2.14,5.31,847,790,771,812,815
31881,2.08,-5.98,0.00,851,784,760,810,822
31901,-2.26,-4.52,-0.85,852,790,771,821,817
31921,-3.48,1.71,0.31,846,784,771,815,814
31941,-4.88,0.98,0.18,845,795,769,816,817
31961,-1.22,0.61,0.06,853,790,771,817,816
31981,2.87,4.21,2.44,843,778,768,813,822
32001,-0.18,1.46,2.75,850,787,768,815,817
32021,4.15,8.30,5.98,847,781,764,815,822
32041,-0.73,2.81,2.01,842,781,766,804,816
32061,1.10,4.70,1.34,847,789,765,822,808
32081,4.03,4.94,3.66,834,786,765,818,819
32101,1.10,3.05,3.78,840,788,770,816,822
32121,0.55,4.09,2.62,836,792,772,815,820
32141,3.54,5.49,0.98,843,779,769,812,819
32161,4.46,10.13,0.43,840,784,771,816,821
32181,-3.17,-15.69,-2.20,837,778,769,814,814
32201,2.81,-9.64,-2.08,837,788,774,813,825
32221,0.12,-6.59,-0.55,834,784,774,813,819
32241,-0.31,5.19,1.46,835,791,767,818,821
32261,-3.23,2.75,1.95,830,784,766,813,839
32281,-3.23,-7.08,-2.14,828,779,768,817,815
32301,-1.28,-14.22,-3.23,825,784,772,820,821
32321,-2.87,-5.37,-2.14,820,784,767,810,818
32341,-3.54,2.44,-0.49,816,785,768,818,812
32361,-3.85,-2.50,1.16,811,778,764,818,816
32381,-1.16,-6.90,0.73,817,781,776,818,823
32401,-2.44,-9.52,-1.22,813,778,773,816,817
32421,-1.71,-8.73,-3.05,816,786,765,812,830
32441,0.18,-1.22,-0.98,805,787,763,810,827
32461,-2.20,-1.65,1.53,802,778,766,823,814
32481,0.61,-6.90,-0.61,801,779,773,814,818
32501,1.16,-11.41,-3.11,802,789,769,817,812
32521,1.40,-10.19,-4.27,802,780,765,815,817
32541,-0.37,-2.26,-1.83,798,785,770,811,814
32561,-2.75,-3.36,1.16,801,786,765,811,816
32581,-0.37,-4.76,-0.24,798,782,769,813,818
32601,-2.38,-3.30,-2.69,801,783,787,816,819
32621,-3.72,-3.91,-4.52,799,786,768,816,818
32641,-3.54,-3.97,-2.99,792,779,774,814,818
32661,-1.53,-6.59,-3.17,797,786,774,813,821
32681,-0.79,-7.32,-2.99,797,776,769,816,826
32701,-3.54,-5.31,-3.23,789,785,771,816,819
32721,-3.42,-6.84,-3.48,786,788,770,815,819
32741,-0.24,-7.20,-2.50,788,785,769,818,817
32761,2.14,-4.09,-1.65,782,776,765,818,815
32781,-2.81,-4.82,-1.10,783,785,773,813,821
32801,-6.96,-2.81,-1.65,780,783,774,817,819
32821,-6.16,-2.50,-1.83,784,783,770,814,815
32841,-0.31,-2.93,-3.05,776,781,774,817,813
32861,1.10,-4.52,-2.62,779,787,769,812,809
32881,0.73,-0.98,-2.32,777,785,766,817,819
32901,-2.32,0.06,-1.53,780,788,769,809,819
32921,0.79,0.24,0.00,776,781,769,820,814
32941,5.49,0.85,-1.10,773,785,771,812,816
32961,2.81,-5.07,-2.01,779,788,771,816,821
32981,-6.16,-6.29,-1.83,780,779,770,813,841
33001,-5.00,-1.40,0.85,771,781,763,818,819
33021,-1.71,-1.46,0.43,772,787,768,813,836
33041,0.31,-3.23,-0.31,767,782,769,811,822
33061,-10.13,-6.84,-3.48,775,785,771,814,817
33081,-5.49,-4.94,-3.60,773,785,769,813,818
33101,-1.16,3.23,1.46,773,783,768,812,815
33121,0.18,1.65,1.71,770,788,767,818,816
33141,-1.46,-2.93,-1.28,769,785,773,815,818
33161,-3.66,-3.78,-2.81,773,782,766,819,816
33181,-4.94,0.37,-0.79,772,780,775,815,843
33201,-4.03,3.17,0.00,769,787,773,821,821
33221,-0.79,1.22,1.71,771,789,772,815,817
33241,1.40,-0.73,0.98,771,784,770,817,822
33261,3.42,0.18,0.67,771,793,769,812,819
33281,-0.18,2.26,1.89,771,776,770,816,817
33301,-2.62,3.60,1.59,775,785,775,815,820
33321,-2.44,3.91,3.05,767,777,763,808,811
33341,1.28,8.36,3.11,773,782,778,814,819
33361,5.98,5.74,2.32,774,789,772,818,818
33381,4.21,8.30,2.69,770,790,771,809,817
33401,0.98,7.75,1.59,776,792,774,818,816
33421,0.61,7.39,0.43,768,792,758,816,814
33441,0.12,2.01,0.00,786,807,772,813,812
33461,-0.24,-0.92,-0.06,772,817,771,815,820
33481,-1.10,-1.71,-0.06,771,827,770,817,820
33501,0.18,2.81,1.77,777,828,767,811,820
33521,2.50,8.79,5.68,769,843,770,810,814
33541,5.13,12.21,6.53,771,861,765,820,812
33561,4.88,2.62,0.79,772,868,771,822,817
33581,2.62,-2.69,-0.79,768,876,770,818,813
33601,2.56,4.46,0.18,770,880,766,821,817
33621,3.05,7.02,2.69,765,895,772,810,818
33641,8.24,3.60,0.61,773,906,772,817,820
33661,3.42,-4.70,-0.92,771,897,768,814,817
33681,-0.24,-3.48,0.61,782,900,771,814,818
33701,1.65,8.61,5.07,775,903,769,814,825
33721,6.10,13.12,7.57,769,916,770,817,818
33741,10.99,6.84,5.92,774,922,769,816,813
33761,7.45,-6.10,-0.73,767,919,770,811,821
33781,-0.24,-7.51,0.49,773,934,771,818,816
33801,1.71,6.96,7.26,773,935,764,816,818
33821,5.55,9.58,9.95,767,943,774,811,819
33841,5.25,7.45,8.36,770,939,768,820,822
33861,5.68,-1.77,4.58,775,939,763,818,810
33881,4.46,2.62,6.47,772,932,768,815,820
